,Unnamed: 0,No,page,nick,time,content,area,ip,ip_loc,length,against,agree,channel,hot,level,login_type,media_type,mid,stamp,time_ymd,time_mdh,cmntcount
57,77,78,4,陈大大耶耶,2018-08-09 23:11:42,同意,广东揭阳,223.74.229.250,"广东省揭阳市 移动 * GeoIP: Jieyang, Guangdong, China * China Mobile",2,1533827501,0,cj,0,0,0,0,5B6C59AC-DF4AE5FA-B479F1B2-8C5-7FE,1533827502,2018-08-09,08-09 23,3716
58,78,79,4,墨迹-莫记,2018-08-09 22:55:51,优秀,湖北武汉,117.151.16.116,"湖北省武汉市 移动 * GeoIP: Wuhan, Hubei, China * China Mobile Guangdong",11,1533826551,0,cj,0,1,0,0,5B6C55F7-75971074-DC968C61-8C5-928,1533826551,2018-08-09,08-09 22,3715
59,79,80,4,生活应该是美好而温柔的,2018-08-09 22:35:13,大学毕业后的心理问题有必要治疗吗？会随着时间慢慢好起来吗？,河南安阳,115.48.27.223,"河南省安阳市 联通 * GeoIP: Anyang, Henan, China * China Unicom Henan",29,1533825313,0,cj,0,0,0,0,5B6C5120-73301BDF-E59296DB-8C5-957,1533825313,2018-08-09,08-09 22,3714
60,80,81,5,十陵第一建筑施工队,2018-08-09 22:22:57,两个人只生活在一起，不用结婚证生娃啥的了。爱情还是要得,四川内江,118.118.129.137,"四川省内江市 电信 * GeoIP: Chengdu, Sichuan, China * China Telecom Sichuan",37,1533824576,0,cj,0,1,0,0,5B6C4E3E-76768189-170CCB600-8C5-907,1533824577,2018-08-09,08-09 22,3713
61,81,82,5,HERMIONZI,2018-08-09 22:22:20,[并不简单]说的是！,新疆乌鲁木齐,221.181.52.134,新疆自治区乌鲁木齐市 移动 * GeoIP: China * China Mobile Guangdong,20,1533824539,0,cj,0,2,0,0,5B6C4E19-DDB53486-1364CE351-8C5-89A,1533824540,2018-08-09,08-09 22,3712
62,82,83,5,十陵第一建筑施工队,2018-08-09 22:19:59,没错没错,四川内江,118.118.129.137,"四川省内江市 电信 * GeoIP: Chengdu, Sichuan, China * China Telecom Sichuan",15,1533824399,0,cj,0,1,0,0,5B6C4D8E-76768189-170CCB600-8C5-907,1533824399,2018-08-09,08-09 22,3711
63,83,84,5,十陵第一建筑施工队,2018-08-09 22:16:55,买不起房的我[泪][泪],四川内江,118.118.129.137,"四川省内江市 电信 * GeoIP: Chengdu, Sichuan, China * China Telecom Sichuan",22,1533824215,0,cj,0,1,0,0,5B6C4CD6-76768189-170CCB600-8C5-907,1533824215,2018-08-09,08-09 22,3710
64,84,85,5,十陵第一建筑施工队,2018-08-09 22:15:30,直接领,四川内江,118.118.129.137,"四川省内江市 电信 * GeoIP: Chengdu, Sichuan, China * China Telecom Sichuan",12,1533824130,0,cj,0,1,0,0,5B6C4C82-76768189-170CCB600-8C5-907,1533824130,2018-08-09,08-09 22,3709
65,85,86,5,十陵第一建筑施工队,2018-08-09 22:14:54,我没吃他的穿他的。何错之有,四川内江,118.118.129.137,"四川省内江市 电信 * GeoIP: Chengdu, Sichuan, China * China Telecom Sichuan",20,1533824094,2,cj,0,1,0,0,5B6C4C5E-76768189-170CCB600-8C5-907,1533824094,2018-08-09,08-09 22,3708
66,86,87,5,十陵第一建筑施工队,2018-08-09 22:13:37,我也想，但是我有那个能力吗[摊手][摊手],四川内江,118.118.129.137,"四川省内江市 电信 * GeoIP: Chengdu, Sichuan, China * China Telecom Sichuan",38,1533824017,1,cj,0,1,0,0,5B6C4C11-76768189-170CCB600-8C5-907,1533824017,2018-08-09,08-09 22,3707
67,87,88,5,十陵第一建筑施工队,2018-08-09 22:12:44,现在好多人一辈子房奴，还几十年的都有,四川内江,118.118.129.137,"四川省内江市 电信 * GeoIP: Chengdu, Sichuan, China * China Telecom Sichuan",30,1533823964,0,cj,0,1,0,0,5B6C4BD8-76768189-170CCB600-8C5-907,1533823964,2018-08-09,08-09 22,3706
68,88,89,5,十陵第一建筑施工队,2018-08-09 22:11:49,现在房价就没有低于一万的了吧，有都很少,四川内江,118.118.129.137,"四川省内江市 电信 * GeoIP: Chengdu, Sichuan, China * China Telecom Sichuan",35,1533823909,0,cj,0,1,0,0,5B6C4BA4-76768189-170CCB600-8C5-907,1533823909,2018-08-09,08-09 22,3705
69,89,90,5,江花醉月,2018-08-09 22:03:46,感受颇深,江西赣州,111.75.44.229,"江西省赣州市 电信 * GeoIP: Ganzhou, Jiangxi, China * China Telecom Jiangxi",4,1533823426,0,cj,0,0,0,0,5B6C49C2-6F4B2CE5-7710F2F2-8C5-9AA,1533823426,2018-08-09,08-09 22,3704
70,90,91,5,我是帅哥_璇哥哥,2018-08-09 21:56:14,我也不借，但是他这觉得正常消费是不对的，我就不能忍，累死累活赚点钱还不能花的舒服吗~~~,福建龙岩,117.31.183.175,"福建省龙岩市 电信 * GeoIP: Longyan, Fujian, China * China Telecom fujian",58,1533822974,0,cj,0,1,0,0,5B6C47FD-751FB7AF-462BF5DE-8C5-7F6,1533822974,2018-08-09,08-09 21,3703
71,91,92,5,锌楠神,2018-08-09 21:35:51,@Asuka---02  真滴牛批,黑龙江哈尔滨,113.5.4.12,"黑龙江省哈尔滨市 联通 * GeoIP: Harbin, Heilongjiang, China * China Unicom Heilongjiang",17,1533821750,0,cj,0,0,0,0,5B6C4336-7105040C-13DDE082F-8C5-8F9,1533821751,2018-08-09,08-09 21,3702
72,92,93,5,高处胜寒_,2018-08-09 20:49:45,杠杆率那么大都在哪儿了你们自己心里没有b数吗[费解],北京海淀,118.199.2.52,"北京市 鹏博士 * GeoIP: Beijing, China * China Telecom Beijing",26,1533818984,0,cj,0,0,0,0,5B6C3868-76C70234-12DD30D69-8C5-792,1533818985,2018-08-09,08-09 20,3701
73,93,94,5,Ruler丿,2018-08-09 20:36:21,不说了 我还有30年的房贷还没还[doge],浙江,112.17.244.66,"浙江省 移动 * GeoIP: Hangzhou, Zhejiang, China * China Mobile",22,1533818181,0,cj,0,0,0,0,5B6C3544-7011F442-9B2DD721-8C5-802,1533818181,2018-08-09,08-09 20,3700
74,94,95,5,nightfall沉淀,2018-08-09 19:21:57,背上，匍匐前进,陕西西安,123.138.232.124,"陕西省汉中市 联通 * GeoIP: Xian, Shaanxi, China * China Unicom Shannxi province network",20,1533813717,0,cj,0,2,0,0,5B6C23D0-7B8AE87C-8B038E79-8C5-97C,1533813717,2018-08-09,08-09 19,3699
75,95,96,5,蜡笔猪小呆,2018-08-09 18:49:04,人在家中坐，锅从天上来,云南昆明,117.136.85.13,"云南省 移动 * GeoIP: Kunming, Yunnan, China * China Mobile Guangdong",11,1533811744,2,cj,0,0,0,0,5B6C1C1B-7588550D-6C230905-8C5-92B,1533811744,2018-08-09,08-09 18,3698
76,96,97,5,手机用户9274694927,2018-08-09 18:35:54,我低调,上海,223.104.210.127,"上海市 移动 * GeoIP: Shanghai, China * Shanghai Mobile Communications Co.,Ltd.",11,1533810954,0,cj,0,1,0,0,5B6C1908-DF68D27F-6A64AE0B-8C5-860,1533810954,2018-08-09,08-09 18,3697
77,97,98,5,北郭先生_Morning,2018-08-09 18:35:45,可能是50年代生的年轻人吧！,辽宁丹东,112.40.176.99,"辽宁省丹东市 移动 * GeoIP: Dandong, Liaoning, China * China Mobile",14,1533810945,0,cj,0,0,0,0,5B6C1901-7028B063-716578EC-8C5-91F,1533810945,2018-08-09,08-09 18,3696
78,98,99,5,福建商业一城,2018-08-09 17:54:33,喝星巴克才多少钱[吃瓜]我觉得我死命消费一年也不到一万,福建,220.249.162.62,"福建省福州市 联通 * GeoIP: Fuzhou, Fujian, China * China Unicom FuJian",27,1533808472,0,cj,0,0,0,0,5B6C0F57-DCF9A23E-66EBB43B-8C5-8F3,1533808473,2018-08-09,08-09 17,3695
